artist_id,name,gender,country,styles,playcount
1370,Russian Red,female,Spain,folk,6039493
1520,Malu,undefined,Spain,pop|romantic,539380
1853,ROSALÍA,undefined,Spain,pop,75544713
3226,C. Tangana,male,Spain,rap,13824307
3630,Lola Indigo,undefined,Spain,pop,2011314
3717,Mónica Naranjo,female,Spain,pop|latin,1759325
4058,Alejandro Sanz,male,Spain,latin|pop,7887761
4684,Nathy Peluso,female,Spain,jazz,4680722
4749,Jarabe de Palo,undefined,Spain,latin|pop|rock,6041047
4893,Amaia,undefined,Spain,pop|folk,1814811
4894,Aitana,undefined,Spain,pop,3864953
5180,Eduardo Paniagua,male,Spain,medieval|renaissance,165198
5875,Pastora Soler,female,Spain,pop|folk,594233
5956,Cariño,undefined,Spain,pop,1171900
6084,DJ Sammy,male,Spain,trance|electronic|techno|electronica,3392120
6746,Extremoduro,undefined,Spain,rock,7493463
6751,Camarón de la Isla,male,Spain,world,1349038
7809,Nicki Minaj & Lil Wayne,undefined,Spain,rap,12286
7924,Angelus Apatrida,undefined,Spain,metal,1147667
8060,Bad Gyal,female,Spain,dancehall,6202718
8159,Alvaro Soler,undefined,Spain,pop|latin,3634734
8265,Ana Mena,female,Spain,pop|latin,977191
8269,Natalia Lacunza,female,Spain,pop,1608921
8462,Rufus T. Firefly,undefined,Spain,rock,433405
8463,Carmen Boza,undefined,Spain,pop,151183
8464,Itaca Band,undefined,Spain,rock,106361
8470,Ginebras,undefined,Spain,pop,290066
8473,Carolina Durante,undefined,Spain,rock|pop,1119337
8483,Txarango,undefined,Spain,rumba,613730
8839,Rigoberta Bandini,undefined,Spain,electronic|pop,1314937
9066,Los Piratas,undefined,Spain,pop|rock,2502226
9086,Culture Kultur,undefined,Spain,industrial|ebm|futurepop|synthpop,32847
9885,Amaral,undefined,Spain,pop,5081127
10149,Mecano,undefined,Spain,pop,6330715
10194,Crystal Fighters,undefined,Spain,electronic|electro,14219574
10516,Abraham Mateo,male,Spain,pop,1078532
10652,El Canto del Loco,undefined,Spain,pop|rock,4905230
10987,La Oreja de Van Gogh,undefined,Spain,pop|latin,11394246
10989,Ruth Lorenzo,female,Spain,pop,530535
10990,Blas Cantó,male,Spain,pop,442954
10992,Manel,undefined,Spain,folk,2312613
10994,Pablo Alborán,male,Spain,pop|latin,4230642
10999,Melendi,male,Spain,pop,4059038
11003,Amaia Montero,female,Spain,pop,1023748
11006,La Quinta Estación,undefined,Spain,pop|latin,1996607
11011,Amaia Romero,undefined,Spain,pop,160773
11014,Supersubmarina,undefined,Spain,rock,2458098
11015,Alfred García,male,Spain,pop|jazz,380952
11097,Vega Almohalla,undefined,Spain,pop,72837
11916,Quique González,undefined,Spain,cantautor|rock|pop,2510055
11917,La Polla Records,undefined,Spain,punk,2633572
11926,Love of Lesbian,undefined,Spain,pop,9219744
11935,Enrique Bunbury,male,Spain,rock,6276040
12006,Barei,undefined,Spain,pop,232300
13097,Maldita Nerea,undefined,Spain,pop,1784095
13666,Caballero & JeanJass,undefined,Spain,rap,829011
14335,La Buena Vida,undefined,Spain,pop,1038353
14339,Los Planetas,undefined,Spain,pop,6309753
14340,El Guincho,male,Spain,experimental|electronic,3783440
14344,La Bien Querida,female,Spain,pop,1746084
14348,Alaska y Dinarama,undefined,Spain,pop,1149023
14379,Joan Miquel Oliver,male,Spain,cantautor,378291
14531,Kortatu,undefined,Spain,ska|punk,791599
14578,Hombres G,undefined,Spain,pop|rock,4360987
14629,Marta Sango,female,Spain,pop,189519
14895,Ska-P,undefined,Spain,ska|punk,16371012
14996,Tierra Santa,undefined,Spain,metal,1723382
15039,Violadores del Verso,undefined,Spain,rap,1958957
15105,Ella Baila Sola,undefined,Spain,pop,853194
15811,Nacha Pop,undefined,Spain,pop,1012471
15832,David Bisbal,male,Spain,latin|pop,3322913
16136,Farid Bang,male,Spain,rap,2493692
16679,Mala Rodríguez,female,Spain,rap,2464626
16804,Rise to Fall,undefined,Spain,metalcore|electronic,817703
17097,Edurne,female,Spain,pop|latin,773292
17230,Nerea Rodríguez,female,Spain,pop,84908
17232,Miriam Rodríguez,female,Spain,pop,439356
17238,Ana Guerra,female,Spain,pop,429317
17651,La Pelopony,undefined,Spain,pop,106381
18694,Soziedad Alkoholika,undefined,Spain,hardcore|punk|metal,1399731
19368,Carlos Sadness,male,Spain,pop|folk,1599849
19384,The New Raemon,undefined,Spain,pop,1683148
19999,Angeles del Infierno,undefined,Spain,metal,342195
20096,Mirela,female,Spain,pop|eurovision,68035
20563,Trobar de Morte,undefined,Spain,medieval|neofolk|neoclassical|folk,1522116
20706,Joaquín Sabina,male,Spain,cantautor|rock,7878411
20856,Auryn,undefined,Spain,pop|hardcore,281816
21238,El Último Ke Zierre,undefined,Spain,punk,1275746
21240,Marea,undefined,Spain,rock,3743101
23925,Berri Txarrak,undefined,Spain,metal|hardcore|rock,2016331
24235,Luar na Lubre,undefined,Spain,celtic|folk,905707
24496,Los Bravos,undefined,Spain,rock,620526
24821,SFDK,undefined,Spain,rap,1599182
25766,Estopa,undefined,Spain,rock|pop,5287277
26045,Polock,undefined,Spain,rock,522002
26753,Julio Iglesias,male,Spain,latin|pop,4290214
27121,Nudozurdo,undefined,Spain,pop,648734
27127,We Are Standard,undefined,Spain,electronic,366276
29177,Paco de Lucía,male,Spain,jazz,4746137
29420,The Zombie Kids,undefined,Spain,electro|electronic|dubstep,227702
